,disturbance_frequency,disturbance_mortality,optimal_spacing
5240,0.2,0.5,10
5241,0.22,0.5,18
5242,0.24,0.5,15
5243,0.26,0.5,17
5244,0.28,0.5,11
5245,0.3,0.5,1
5246,0.32,0.5,1
5247,0.34,0.5,1
5248,0.36,0.5,1
5249,0.38,0.5,1
5250,0.4,0.5,1
5251,0,0.5,1
5252,0.02,0.5,1
5253,0.04,0.5,1
5254,0.06,0.5,3
5255,0.08,0.5,5
5256,0.1,0.5,10
5257,0.12,0.5,19
5258,0.14,0.5,17
5259,0.16,0.5,12
5260,0.18,0.5,11
5261,0.2,0.5,17
5262,0.22,0.5,12
5263,0.24,0.5,14
5264,0.26,0.5,17
5265,0.28,0.5,6
5266,0.3,0.5,1
5267,0.32,0.5,1
5268,0.34,0.5,1
5269,0.36,0.5,1
5270,0.38,0.5,1
5271,0.4,0.5,1
5272,0,0.5,1
5273,0.02,0.5,1
5274,0.04,0.5,1
5275,0.06,0.5,3
5276,0.08,0.5,7
5277,0.1,0.5,7
5278,0.12,0.5,20
5279,0.14,0.5,16
5280,0.16,0.5,11
5281,0.18,0.5,11
5282,0.2,0.5,16
5283,0.22,0.5,16
5284,0.24,0.5,9
5285,0.26,0.5,9
5286,0.28,0.5,13
5287,0.3,0.5,1
5288,0.32,0.5,1
5289,0.34,0.5,1
5290,0.36,0.5,1
5291,0.38,0.5,1
5292,0.4,0.5,1
5293,0,0.5,1
5294,0.02,0.5,1
5295,0.04,0.5,1
5296,0.06,0.5,1
5297,0.08,0.5,12
5298,0.1,0.5,13
5299,0.12,0.5,16
5300,0.14,0.5,15
5301,0.16,0.5,14
5302,0.18,0.5,17
5303,0.2,0.5,13
5304,0.22,0.5,15
5305,0.24,0.5,12
5306,0.26,0.5,3
5307,0.28,0.5,10
5308,0.3,0.5,1
5309,0.32,0.5,1
5310,0.34,0.5,1
5311,0.36,0.5,1
5312,0.38,0.5,1
5313,0.4,0.5,1
5314,0,0.5,1
5315,0.02,0.5,1
5316,0.04,0.5,1
5317,0.06,0.5,1
5318,0.08,0.5,6
5319,0.1,0.5,15
5320,0.12,0.5,17
5321,0.14,0.5,15
5322,0.16,0.5,8
5323,0.18,0.5,16
5324,0.2,0.5,13
5325,0.22,0.5,11
5326,0.24,0.5,12
5327,0.26,0.5,16
5328,0.28,0.5,12
5329,0.3,0.5,1
5330,0.32,0.5,1
5331,0.34,0.5,1
5332,0.36,0.5,1
5333,0.38,0.5,1
5334,0.4,0.5,1
5335,0,0.5,1
5336,0.02,0.5,1
5337,0.04,0.5,1
5338,0.06,0.5,4
5339,0.08,0.5,4
5340,0.1,0.5,16
5341,0.12,0.5,15
5342,0.14,0.5,14
5343,0.16,0.5,12
5344,0.18,0.5,16
5345,0.2,0.5,13
5346,0.22,0.5,12
5347,0.24,0.5,12
5348,0.26,0.5,11
5349,0.28,0.5,12
5350,0.3,0.5,1
5351,0.32,0.5,9
5352,0.34,0.5,1
5353,0.36,0.5,1
5354,0.38,0.5,1
5355,0.4,0.5,1
5356,0,0.5,1
5357,0.02,0.5,1
5358,0.04,0.5,1
5359,0.06,0.5,2
5360,0.08,0.5,5
5361,0.1,0.5,20
5362,0.12,0.5,15
5363,0.14,0.5,17
5364,0.16,0.5,15
5365,0.18,0.5,15
5366,0.2,0.5,16
5367,0.22,0.5,10
5368,0.24,0.5,11
5369,0.26,0.5,8
5370,0.28,0.5,15
5371,0.3,0.5,1
5372,0.32,0.5,1
5373,0.34,0.5,1
5374,0.36,0.5,1
5375,0.38,0.5,1
5376,0.4,0.5,1
5377,0,0.5,1
5378,0.02,0.5,1
5379,0.04,0.5,1
5380,0.06,0.5,2
5381,0.08,0.5,9
5382,0.1,0.5,11
5383,0.12,0.5,13
5384,0.14,0.5,15
5385,0.16,0.5,18
5386,0.18,0.5,16
5387,0.2,0.5,18
5388,0.22,0.5,14
5389,0.24,0.5,15
5390,0.26,0.5,13
5391,0.28,0.5,13
5392,0.3,0.5,1
5393,0.32,0.5,9
5394,0.34,0.5,1
5395,0.36,0.5,1
5396,0.38,0.5,1
5397,0.4,0.5,1
5398,0,0.5,1
5399,0.02,0.5,1
5400,0.04,0.5,1
5401,0.06,0.5,3
5402,0.08,0.5,5
5403,0.1,0.5,7
5404,0.12,0.5,10
5405,0.14,0.5,16
5406,0.16,0.5,12
5407,0.18,0.5,12
5408,0.2,0.5,15
5409,0.22,0.5,12
5410,0.24,0.5,10
5411,0.26,0.5,13
5412,0.28,0.5,14
5413,0.3,0.5,1
5414,0.32,0.5,1
5415,0.34,0.5,1
5416,0.36,0.5,1
5417,0.38,0.5,1
5418,0.4,0.5,1
5419,0,0.5,1
5420,0.02,0.5,1
5421,0.04,0.5,1
5422,0.06,0.5,4
5423,0.08,0.5,13
5424,0.1,0.5,13
5425,0.12,0.5,16
5426,0.14,0.5,14
5427,0.16,0.5,15
5428,0.18,0.5,13
5429,0.2,0.5,15
5430,0.22,0.5,16
5431,0.24,0.5,19
5432,0.26,0.5,10
5433,0.28,0.5,1
5434,0.3,0.5,10
5435,0.32,0.5,1
5436,0.34,0.5,1
5437,0.36,0.5,1
5438,0.38,0.5,1
5439,0.4,0.5,1
5440,0,0.5,1
5441,0.02,0.5,1
5442,0.04,0.5,1
5443,0.06,0.5,2
5444,0.08,0.5,10
5445,0.1,0.5,13
5446,0.12,0.5,21
5447,0.14,0.5,14
5448,0.16,0.5,15
5449,0.18,0.5,15
5450,0.2,0.5,16
5451,0.22,0.5,18
5452,0.24,0.5,15
5453,0.26,0.5,13
5454,0.28,0.5,14
5455,0.3,0.5,13
5456,0.32,0.5,1
5457,0.34,0.5,1
5458,0.36,0.5,1
5459,0.38,0.5,1
5460,0.4,0.5,1
5461,0,0.5,1
5462,0.02,0.5,1
5463,0.04,0.5,1
5464,0.06,0.5,1
5465,0.08,0.5,5
5466,0.1,0.5,8
5467,0.12,0.5,19
5468,0.14,0.5,16
5469,0.16,0.5,18
5470,0.18,0.5,16
5471,0.2,0.5,17
5472,0.22,0.5,12
5473,0.24,0.5,9
5474,0.26,0.5,17
5475,0.28,0.5,4
5476,0.3,0.5,1
5477,0.32,0.5,1
5478,0.34,0.5,1
5479,0.36,0.5,1
5480,0.38,0.5,1
5481,0.4,0.5,1
5482,0,0.5,1
5483,0.02,0.5,1
5484,0.04,0.5,1
5485,0.06,0.5,3
5486,0.08,0.5,11
5487,0.1,0.5,11
5488,0.12,0.5,14
5489,0.14,0.5,11
5490,0.16,0.5,13
5491,0.18,0.5,15
5492,0.2,0.5,15
5493,0.22,0.5,15
5494,0.24,0.5,13
5495,0.26,0.5,17
5496,0.28,0.5,1
5497,0.3,0.5,1
5498,0.32,0.5,1
5499,0.34,0.5,1
5500,0.36,0.5,1
5501,0.38,0.5,1
5502,0.4,0.5,1
5503,0,0.5,1
5504,0.02,0.5,1
5505,0.04,0.5,1
5506,0.06,0.5,4
5507,0.08,0.5,10
5508,0.1,0.5,18
5509,0.12,0.5,12
5510,0.14,0.5,17
5511,0.16,0.5,14
5512,0.18,0.5,15
5513,0.2,0.5,13
5514,0.22,0.5,15
5515,0.24,0.5,14
5516,0.26,0.5,14
5517,0.28,0.5,5
5518,0.3,0.5,10
5519,0.32,0.5,1
5520,0.34,0.5,1
5521,0.36,0.5,1
5522,0.38,0.5,1
5523,0.4,0.5,1
5524,0,0.5,1
5525,0.02,0.5,1
5526,0.04,0.5,1
5527,0.06,0.5,2
5528,0.08,0.5,5
5529,0.1,0.5,12
5530,0.12,0.5,13
5531,0.14,0.5,16
5532,0.16,0.5,14
5533,0.18,0.5,12
5534,0.2,0.5,10
5535,0.22,0.5,12
5536,0.24,0.5,10
5537,0.26,0.5,12
5538,0.28,0.5,11
5539,0.3,0.5,1
5540,0.32,0.5,1
5541,0.34,0.5,1
5542,0.36,0.5,1
5543,0.38,0.5,1
5544,0.4,0.5,1
5545,0,0.5,1
5546,0.02,0.5,1
5547,0.04,0.5,1
5548,0.06,0.5,5
5549,0.08,0.5,8
5550,0.1,0.5,12
5551,0.12,0.5,10
5552,0.14,0.5,15
5553,0.16,0.5,12
5554,0.18,0.5,11
5555,0.2,0.5,18
5556,0.22,0.5,16
5557,0.24,0.5,15
5558,0.26,0.5,12
5559,0.28,0.5,8
5560,0.3,0.5,1
5561,0.32,0.5,7
5562,0.34,0.5,1
5563,0.36,0.5,1
5564,0.38,0.5,1
5565,0.4,0.5,1
5566,0,0.5,1
5567,0.02,0.5,1
5568,0.04,0.5,1
5569,0.06,0.5,1
5570,0.08,0.5,6
5571,0.1,0.5,8
5572,0.12,0.5,12
5573,0.14,0.5,19
5574,0.16,0.5,11
5575,0.18,0.5,11
5576,0.2,0.5,13
5577,0.22,0.5,19
5578,0.24,0.5,5
5579,0.26,0.5,9
5580,0.28,0.5,13
5581,0.3,0.5,1
5582,0.32,0.5,1
5583,0.34,0.5,1
5584,0.36,0.5,1
5585,0.38,0.5,1
5586,0.4,0.5,1
5587,0,0.5,1
5588,0.02,0.5,1
5589,0.04,0.5,1
5590,0.06,0.5,1
5591,0.08,0.5,8
5592,0.1,0.5,13
5593,0.12,0.5,19
5594,0.14,0.5,10
5595,0.16,0.5,13
5596,0.18,0.5,19
5597,0.2,0.5,15
5598,0.22,0.5,14
5599,0.24,0.5,18
5600,0.26,0.5,13
5601,0.28,0.5,10
5602,0.3,0.5,7
5603,0.32,0.5,1
5604,0.34,0.5,1
5605,0.36,0.5,1
5606,0.38,0.5,1
5607,0.4,0.5,1
5608,0,0.5,1
5609,0.02,0.5,1
5610,0.04,0.5,1
5611,0.06,0.5,2
5612,0.08,0.5,1
5613,0.1,0.5,6
5614,0.12,0.5,15
5615,0.14,0.5,14
5616,0.16,0.5,18
5617,0.18,0.5,11
5618,0.2,0.5,12
5619,0.22,0.5,17
5620,0.24,0.5,15
5621,0.26,0.5,17
5622,0.28,0.5,11
5623,0.3,0.5,1
5624,0.32,0.5,1
5625,0.34,0.5,1
5626,0.36,0.5,1
5627,0.38,0.5,1
5628,0.4,0.5,1
5629,0,0.5,1
5630,0.02,0.5,1
5631,0.04,0.5,1
5632,0.06,0.5,5
5633,0.08,0.5,8
5634,0.1,0.5,15
5635,0.12,0.5,12
5636,0.14,0.5,15
5637,0.16,0.5,11
5638,0.18,0.5,18
5639,0.2,0.5,17
5640,0.22,0.5,11
5641,0.24,0.5,14
5642,0.26,0.5,8
5643,0.28,0.5,6
5644,0.3,0.5,1
5645,0.32,0.5,1
5646,0.34,0.5,1
5647,0.36,0.5,1
5648,0.38,0.5,1
5649,0.4,0.5,1
5650,0,0.5,1
5651,0.02,0.5,1
5652,0.04,0.5,1
5653,0.06,0.5,1
5654,0.08,0.5,4
5655,0.1,0.5,7
5656,0.12,0.5,11
5657,0.14,0.5,14
5658,0.16,0.5,12
5659,0.18,0.5,14
5660,0.2,0.5,12
5661,0.22,0.5,15
5662,0.24,0.5,18
5663,0.26,0.5,14
5664,0.28,0.5,7
5665,0.3,0.5,1
5666,0.32,0.5,1
5667,0.34,0.5,1
5668,0.36,0.5,1
5669,0.38,0.5,1
5670,0.4,0.5,1
5671,0,0.5,1
5672,0.02,0.5,1
5673,0.04,0.5,1
5674,0.06,0.5,2
5675,0.08,0.5,16
5676,0.1,0.5,17
5677,0.12,0.5,12
5678,0.14,0.5,10
5679,0.16,0.5,13
5680,0.18,0.5,16
5681,0.2,0.5,14
5682,0.22,0.5,18
5683,0.24,0.5,15
5684,0.26,0.5,12
5685,0.28,0.5,11
5686,0.3,0.5,8
5687,0.32,0.5,1
5688,0.34,0.5,1
5689,0.36,0.5,1
5690,0.38,0.5,1
5691,0.4,0.5,1
5692,0,0.5,1
5693,0.02,0.5,1
5694,0.04,0.5,1
5695,0.06,0.5,2
5696,0.08,0.5,7
5697,0.1,0.5,11
5698,0.12,0.5,19
5699,0.14,0.5,14
5700,0.16,0.5,14
5701,0.18,0.5,17
5702,0.2,0.5,11
5703,0.22,0.5,14
5704,0.24,0.5,15
5705,0.26,0.5,10
5706,0.28,0.5,16
5707,0.3,0.5,1
5708,0.32,0.5,1
5709,0.34,0.5,1
5710,0.36,0.5,1
5711,0.38,0.5,1
5712,0.4,0.5,1
5713,0,0.5,1
5714,0.02,0.5,1
5715,0.04,0.5,1
5716,0.06,0.5,3
5717,0.08,0.5,7
5718,0.1,0.5,3
5719,0.12,0.5,9
5720,0.14,0.5,11
5721,0.16,0.5,17
5722,0.18,0.5,14
5723,0.2,0.5,17
5724,0.22,0.5,12
5725,0.24,0.5,12
5726,0.26,0.5,18
5727,0.28,0.5,13
5728,0.3,0.5,1
5729,0.32,0.5,1
5730,0.34,0.5,1
5731,0.36,0.5,1
5732,0.38,0.5,1
5733,0.4,0.5,1
5734,0,0.5,1
5735,0.02,0.5,1
5736,0.04,0.5,1
5737,0.06,0.5,4
5738,0.08,0.5,6
5739,0.1,0.5,10
5740,0.12,0.5,15
5741,0.14,0.5,17
5742,0.16,0.5,16
5743,0.18,0.5,12
5744,0.2,0.5,17
5745,0.22,0.5,17
5746,0.24,0.5,15
5747,0.26,0.5,9
5748,0.28,0.5,8
5749,0.3,0.5,10
5750,0.32,0.5,1
5751,0.34,0.5,1
5752,0.36,0.5,1
5753,0.38,0.5,1
5754,0.4,0.5,1
5755,0,0.5,1
5756,0.02,0.5,1
5757,0.04,0.5,1
5758,0.06,0.5,1
5759,0.08,0.5,6
5760,0.1,0.5,12
5761,0.12,0.5,20
5762,0.14,0.5,15
5763,0.16,0.5,15
5764,0.18,0.5,11
5765,0.2,0.5,10
5766,0.22,0.5,13
5767,0.24,0.5,15
5768,0.26,0.5,16
5769,0.28,0.5,10
5770,0.3,0.5,1
5771,0.32,0.5,1
5772,0.34,0.5,1
5773,0.36,0.5,1
5774,0.38,0.5,1
5775,0.4,0.5,1
5776,0,0.5,1
5777,0.02,0.5,1
5778,0.04,0.5,1
5779,0.06,0.5,3
5780,0.08,0.5,6
5781,0.1,0.5,18
5782,0.12,0.5,9
5783,0.14,0.5,18
5784,0.16,0.5,16
5785,0.18,0.5,15
5786,0.2,0.5,15
5787,0.22,0.5,18
5788,0.24,0.5,18
5789,0.26,0.5,13
5790,0.28,0.5,16
5791,0.3,0.5,9
5792,0.32,0.5,1
5793,0.34,0.5,1
5794,0.36,0.5,1
5795,0.38,0.5,1
5796,0.4,0.5,1
5797,0,0.5,1
5798,0.02,0.5,1
5799,0.04,0.5,1
5800,0.06,0.5,3
5801,0.08,0.5,5
5802,0.1,0.5,17
5803,0.12,0.5,16
5804,0.14,0.5,12
5805,0.16,0.5,15
5806,0.18,0.5,15
5807,0.2,0.5,14
5808,0.22,0.5,11
5809,0.24,0.5,14
5810,0.26,0.5,17
5811,0.28,0.5,10
5812,0.3,0.5,1
5813,0.32,0.5,1
5814,0.34,0.5,1
5815,0.36,0.5,1
5816,0.38,0.5,1
5817,0.4,0.5,1
5818,0,0.5,1
5819,0.02,0.5,1
5820,0.04,0.5,1
5821,0.06,0.5,1
5822,0.08,0.5,12
5823,0.1,0.5,14
5824,0.12,0.5,18
5825,0.14,0.5,15
5826,0.16,0.5,18
5827,0.18,0.5,18
5828,0.2,0.5,15
5829,0.22,0.5,11
5830,0.24,0.5,10
5831,0.26,0.5,12
5832,0.28,0.5,14
5833,0.3,0.5,10
5834,0.32,0.5,1
5835,0.34,0.5,1
5836,0.36,0.5,1
5837,0.38,0.5,1
5838,0.4,0.5,1
5839,0,0.5,1
5840,0.02,0.5,1
5841,0.04,0.5,1
5842,0.06,0.5,1
5843,0.08,0.5,12
5844,0.1,0.5,7
5845,0.12,0.5,9
5846,0.14,0.5,13
5847,0.16,0.5,19
5848,0.18,0.5,14
5849,0.2,0.5,14
5850,0.22,0.5,13
5851,0.24,0.5,15
5852,0.26,0.5,9
5853,0.28,0.5,9
5854,0.3,0.5,1
5855,0.32,0.5,1
5856,0.34,0.5,1
5857,0.36,0.5,1
5858,0.38,0.5,1
5859,0.4,0.5,1
5860,0,0.5,1
5861,0.02,0.5,1
5862,0.04,0.5,1
5863,0.06,0.5,6
5864,0.08,0.5,5
5865,0.1,0.5,12
5866,0.12,0.5,13
5867,0.14,0.5,14
5868,0.16,0.5,14
5869,0.18,0.5,13
5870,0.2,0.5,14
5871,0.22,0.5,17
5872,0.24,0.5,17
5873,0.26,0.5,14
5874,0.28,0.5,1
5875,0.3,0.5,1
5876,0.32,0.5,1
5877,0.34,0.5,1
5878,0.36,0.5,1
5879,0.38,0.5,1
5880,0.4,0.5,1
5881,0,0.5,1
5882,0.02,0.5,1
5883,0.04,0.5,1
5884,0.06,0.5,3
5885,0.08,0.5,7
5886,0.1,0.5,11
5887,0.12,0.5,21
5888,0.14,0.5,12
5889,0.16,0.5,14
5890,0.18,0.5,16
5891,0.2,0.5,16
5892,0.22,0.5,12
5893,0.24,0.5,15
5894,0.26,0.5,8
5895,0.28,0.5,12
5896,0.3,0.5,1
5897,0.32,0.5,1
5898,0.34,0.5,1
5899,0.36,0.5,1
5900,0.38,0.5,1
5901,0.4,0.5,1
5902,0,0.5,1
5903,0.02,0.5,1
5904,0.04,0.5,1
5905,0.06,0.5,3
5906,0.08,0.5,7
5907,0.1,0.5,11
5908,0.12,0.5,17
5909,0.14,0.5,16
5910,0.16,0.5,16
5911,0.18,0.5,10
5912,0.2,0.5,17
5913,0.22,0.5,12
5914,0.24,0.5,13
5915,0.26,0.5,12
5916,0.28,0.5,1
5917,0.3,0.5,11
5918,0.32,0.5,1
5919,0.34,0.5,1
5920,0.36,0.5,1
5921,0.38,0.5,1
5922,0.4,0.5,1
5923,0,0.5,1
5924,0.02,0.5,1
5925,0.04,0.5,1
5926,0.06,0.5,2
5927,0.08,0.5,9
5928,0.1,0.5,10
5929,0.12,0.5,10
5930,0.14,0.5,12
5931,0.16,0.5,14
5932,0.18,0.5,14
5933,0.2,0.5,14
5934,0.22,0.5,12
5935,0.24,0.5,16
5936,0.26,0.5,13
5937,0.28,0.5,1
5938,0.3,0.5,1
5939,0.32,0.5,1
5940,0.34,0.5,1
5941,0.36,0.5,1
5942,0.38,0.5,1
5943,0.4,0.5,1
5944,0,0.5,1
5945,0.02,0.5,1
5946,0.04,0.5,1
5947,0.06,0.5,2
5948,0.08,0.5,8
5949,0.1,0.5,14
5950,0.12,0.5,16
5951,0.14,0.5,18
5952,0.16,0.5,16
5953,0.18,0.5,13
5954,0.2,0.5,14
5955,0.22,0.5,14
5956,0.24,0.5,11
5957,0.26,0.5,15
5958,0.28,0.5,7
5959,0.3,0.5,1
5960,0.32,0.5,1
5961,0.34,0.5,1
5962,0.36,0.5,1
5963,0.38,0.5,1
5964,0.4,0.5,1
5965,0,0.5,1
5966,0.02,0.5,1
5967,0.04,0.5,1
5968,0.06,0.5,3
5969,0.08,0.5,8
5970,0.1,0.5,9
5971,0.12,0.5,17
5972,0.14,0.5,14
5973,0.16,0.5,18
5974,0.18,0.5,15
5975,0.2,0.5,10
5976,0.22,0.5,11
5977,0.24,0.5,13
5978,0.26,0.5,10
5979,0.28,0.5,11
5980,0.3,0.5,1
5981,0.32,0.5,1
5982,0.34,0.5,1
5983,0.36,0.5,1
5984,0.38,0.5,1
5985,0.4,0.5,1
5986,0,0.5,1
5987,0.02,0.5,1
5988,0.04,0.5,1
5989,0.06,0.5,4
5990,0.08,0.5,8
5991,0.1,0.5,12
5992,0.12,0.5,15
5993,0.14,0.5,15
5994,0.16,0.5,17
5995,0.18,0.5,14
5996,0.2,0.5,18
5997,0.22,0.5,12
5998,0.24,0.5,13
5999,0.26,0.5,12
6000,0.28,0.5,4
6001,0.3,0.5,1
6002,0.32,0.5,1
6003,0.34,0.5,1
6004,0.36,0.5,1
6005,0.38,0.5,1
6006,0.4,0.5,1
6007,0,0.5,1
6008,0.02,0.5,1
6009,0.04,0.5,2
6010,0.06,0.5,2
6011,0.08,0.5,10
6012,0.1,0.5,18
6013,0.12,0.5,12
6014,0.14,0.5,17
6015,0.16,0.5,18
6016,0.18,0.5,13
6017,0.2,0.5,20
6018,0.22,0.5,12
6019,0.24,0.5,11
6020,0.26,0.5,10
6021,0.28,0.5,4
6022,0.3,0.5,1
6023,0.32,0.5,1
6024,0.34,0.5,1
6025,0.36,0.5,1
6026,0.38,0.5,1
6027,0.4,0.5,1
6028,0,0.5,1
6029,0.02,0.5,1
6030,0.04,0.5,1
6031,0.06,0.5,1
6032,0.08,0.5,8
6033,0.1,0.5,19
6034,0.12,0.5,15
6035,0.14,0.5,13
6036,0.16,0.5,15
6037,0.18,0.5,15
6038,0.2,0.5,11
6039,0.22,0.5,18
6040,0.24,0.5,11
6041,0.26,0.5,17
6042,0.28,0.5,8
6043,0.3,0.5,9
6044,0.32,0.5,1
6045,0.34,0.5,1
6046,0.36,0.5,1
6047,0.38,0.5,1
6048,0.4,0.5,1
6049,0,0.5,1
6050,0.02,0.5,1
6051,0.04,0.5,1
6052,0.06,0.5,6
6053,0.08,0.5,8
6054,0.1,0.5,18
6055,0.12,0.5,15
6056,0.14,0.5,16
6057,0.16,0.5,17
6058,0.18,0.5,14
6059,0.2,0.5,19
6060,0.22,0.5,14
6061,0.24,0.5,14
6062,0.26,0.5,12
6063,0.28,0.5,9
6064,0.3,0.5,1
6065,0.32,0.5,1
6066,0.34,0.5,1
6067,0.36,0.5,1
6068,0.38,0.5,1
6069,0.4,0.5,1
6070,0,0.5,1
6071,0.02,0.5,1
6072,0.04,0.5,1
6073,0.06,0.5,3
6074,0.08,0.5,8
6075,0.1,0.5,8
6076,0.12,0.5,13
6077,0.14,0.5,15
6078,0.16,0.5,15
6079,0.18,0.5,19
6080,0.2,0.5,14
6081,0.22,0.5,10
6082,0.24,0.5,12
6083,0.26,0.5,14
6084,0.28,0.5,1
6085,0.3,0.5,1
6086,0.32,0.5,1
6087,0.34,0.5,1
6088,0.36,0.5,1
6089,0.38,0.5,1
6090,0.4,0.5,1
6091,0,0.5,1
6092,0.02,0.5,1
6093,0.04,0.5,1
6094,0.06,0.5,2
6095,0.08,0.5,11
6096,0.1,0.5,6
6097,0.12,0.5,17
6098,0.14,0.5,10
6099,0.16,0.5,17
6100,0.18,0.5,13
6101,0.2,0.5,12
6102,0.22,0.5,13
6103,0.24,0.5,11
6104,0.26,0.5,16
6105,0.28,0.5,1
6106,0.3,0.5,1
6107,0.32,0.5,1
6108,0.34,0.5,1
6109,0.36,0.5,1
6110,0.38,0.5,1
6111,0.4,0.5,1
6112,0,0.5,1
6113,0.02,0.5,1
6114,0.04,0.5,1
6115,0.06,0.5,2
6116,0.08,0.5,9
6117,0.1,0.5,10
6118,0.12,0.5,15
6119,0.14,0.5,16
6120,0.16,0.5,12
6121,0.18,0.5,14
6122,0.2,0.5,11
6123,0.22,0.5,15
6124,0.24,0.5,13
6125,0.26,0.5,14
6126,0.28,0.5,10
6127,0.3,0.5,1
6128,0.32,0.5,1
6129,0.34,0.5,1
6130,0.36,0.5,1
6131,0.38,0.5,1
6132,0.4,0.5,1
6133,0,0.5,1
6134,0.02,0.5,1
6135,0.04,0.5,1
6136,0.06,0.5,6
6137,0.08,0.5,10
6138,0.1,0.5,12
6139,0.12,0.5,17
6140,0.14,0.5,14
6141,0.16,0.5,12
6142,0.18,0.5,14
6143,0.2,0.5,12
6144,0.22,0.5,13
6145,0.24,0.5,13
6146,0.26,0.5,20
6147,0.28,0.5,8
6148,0.3,0.5,1
6149,0.32,0.5,9
6150,0.34,0.5,1
6151,0.36,0.5,1
6152,0.38,0.5,1
6153,0.4,0.5,1
6154,0,0.5,1
6155,0.02,0.5,1
6156,0.04,0.5,1
6157,0.06,0.5,1
6158,0.08,0.5,6
6159,0.1,0.5,11
6160,0.12,0.5,18
6161,0.14,0.5,11
6162,0.16,0.5,19
6163,0.18,0.5,15
6164,0.2,0.5,15
6165,0.22,0.5,20
6166,0.24,0.5,18
6167,0.26,0.5,13
6168,0.28,0.5,1
6169,0.3,0.5,1
6170,0.32,0.5,1
6171,0.34,0.5,1
6172,0.36,0.5,1
6173,0.38,0.5,1
6174,0.4,0.5,1
6175,0,0.5,1
6176,0.02,0.5,1
6177,0.04,0.5,1
6178,0.06,0.5,1
6179,0.08,0.5,9
6180,0.1,0.5,9
6181,0.12,0.5,14
6182,0.14,0.5,18
6183,0.16,0.5,17
6184,0.18,0.5,11
6185,0.2,0.5,12
6186,0.22,0.5,13
6187,0.24,0.5,12
6188,0.26,0.5,11
6189,0.28,0.5,9
6190,0.3,0.5,9
6191,0.32,0.5,1
6192,0.34,0.5,1
6193,0.36,0.5,1
6194,0.38,0.5,1
6195,0.4,0.5,1
6196,0,0.5,1
6197,0.02,0.5,1
6198,0.04,0.5,1
6199,0.06,0.5,1
6200,0.08,0.5,6
6201,0.1,0.5,13
6202,0.12,0.5,14
6203,0.14,0.5,14
6204,0.16,0.5,13
6205,0.18,0.5,17
6206,0.2,0.5,19
6207,0.22,0.5,11
6208,0.24,0.5,12
6209,0.26,0.5,18
6210,0.28,0.5,8
6211,0.3,0.5,9
6212,0.32,0.5,1
6213,0.34,0.5,1
6214,0.36,0.5,1
6215,0.38,0.5,1
6216,0.4,0.5,1
6217,0,0.5,1
6218,0.02,0.5,1
6219,0.04,0.5,1
6220,0.06,0.5,1
6221,0.08,0.5,9
6222,0.1,0.5,11
6223,0.12,0.5,19
6224,0.14,0.5,11
6225,0.16,0.5,12
6226,0.18,0.5,17
6227,0.2,0.5,15
6228,0.22,0.5,14
6229,0.24,0.5,12
6230,0.26,0.5,14
6231,0.28,0.5,7
6232,0.3,0.5,1
6233,0.32,0.5,1
6234,0.34,0.5,1
6235,0.36,0.5,1
6236,0.38,0.5,1
6237,0.4,0.5,1
6238,0,0.5,1
6239,0.02,0.5,1
6240,0.04,0.5,1
6241,0.06,0.5,1
6242,0.08,0.5,8
6243,0.1,0.5,11
6244,0.12,0.5,21
6245,0.14,0.5,18
6246,0.16,0.5,13
6247,0.18,0.5,15
6248,0.2,0.5,14
6249,0.22,0.5,15
6250,0.24,0.5,15
6251,0.26,0.5,9
6252,0.28,0.5,1
6253,0.3,0.5,1
6254,0.32,0.5,8
6255,0.34,0.5,1
6256,0.36,0.5,1
6257,0.38,0.5,1
6258,0.4,0.5,1
6259,0,0.5,1
6260,0.02,0.5,1
6261,0.04,0.5,1
6262,0.06,0.5,3
6263,0.08,0.5,6
6264,0.1,0.5,11
6265,0.12,0.5,16
6266,0.14,0.5,18
6267,0.16,0.5,15
6268,0.18,0.5,16
6269,0.2,0.5,11
6270,0.22,0.5,14
6271,0.24,0.5,9
6272,0.26,0.5,14
6273,0.28,0.5,10
6274,0.3,0.5,1
6275,0.32,0.5,1
6276,0.34,0.5,1
6277,0.36,0.5,1
6278,0.38,0.5,1
6279,0.4,0.5,1
6280,0,0.5,1
6281,0.02,0.5,1
6282,0.04,0.5,1
6283,0.06,0.5,1
6284,0.08,0.5,3
6285,0.1,0.5,13
6286,0.12,0.5,11
6287,0.14,0.5,16
6288,0.16,0.5,14
6289,0.18,0.5,16
6290,0.2,0.5,17
6291,0.22,0.5,10
6292,0.24,0.5,17
6293,0.26,0.5,9
6294,0.28,0.5,14
6295,0.3,0.5,1
6296,0.32,0.5,1
6297,0.34,0.5,1
6298,0.36,0.5,1
6299,0.38,0.5,1
6300,0.4,0.5,1
