,gamma,delta,optimal_spacing,mean_pop_size
177,0.201,0.201,3,0.01
178,0.401,0.201,2,0.01
179,0.601,0.201,1,0.03
180,0.801,0.201,1,0.01
181,0.000999999999999999,0.401,18,0.52
182,0.201,0.401,3,0.03
183,0.401,0.401,6,0.02
184,0.601,0.401,1,0.02
185,0.801,0.401,2,0.03
186,0.000999999999999999,0.401,19,0.5
187,0.201,0.401,10,0.04
188,0.401,0.401,1,0.03
189,0.601,0.401,2,0.02
190,0.801,0.401,4,0.02
191,0.000999999999999999,0.401,20,0.5
192,0.201,0.401,1,0.02
193,0.401,0.401,2,0.03
194,0.601,0.401,4,0.01
195,0.801,0.401,1,0.03
196,0.000999999999999999,0.601,22,0.75
197,0.201,0.601,14,0.07
198,0.401,0.601,10,0.04
199,0.601,0.601,1,0.02
200,0.801,0.601,6,0.04
201,0.000999999999999999,0.601,20,0.78
202,0.201,0.601,28,0.14
203,0.401,0.601,13,0.04
204,0.601,0.601,4,0.02
205,0.801,0.601,1,0.02
206,0.000999999999999999,0.601,18,0.73
207,0.201,0.601,17,0.1
208,0.401,0.601,8,0.03
209,0.601,0.601,3,0.03
210,0.801,0.601,1,0.02
211,0.000999999999999999,0.801,27,0.89
212,0.201,0.801,48,0.34
213,0.401,0.801,4,0.04
214,0.601,0.801,7,0.04
215,0.801,0.801,5,0.05
216,0.000999999999999999,0.801,34,0.92
217,0.201,0.801,12,0.15
218,0.401,0.801,5,0.03
219,0.601,0.801,7,0.03
220,0.801,0.801,1,0.02
221,0.000999999999999999,0.801,22,0.88
222,0.201,0.801,15,0.15
223,0.401,0.801,6,0.03
224,0.601,0.801,6,0.05
225,0.801,0.801,3,0.03
