,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
77,2,0.25,0.801,0.301,0.1,0.1,1,10,99.9647180083287
78,2,0.75,0.801,0.301,0.1,0.1,1,10,99.947447240294
79,2,0.25,0.901,0.301,0.1,0.1,1,16,99.9574927692898
80,2,0.75,0.901,0.301,0.1,0.1,1,10,99.9424560913766
81,2,0.25,0.001,0.401,0.1,0.1,1,13,99.9338165349132
82,2,0.75,0.001,0.401,0.1,0.1,1,17,99.8237569400243
83,2,0.25,0.101,0.401,0.1,0.1,1,25,99.9052587514072
84,2,0.75,0.101,0.401,0.1,0.1,1,16,99.8848172701701
85,2,0.25,0.201,0.401,0.1,0.1,1,25,99.9148810147887
86,2,0.75,0.201,0.401,0.1,0.1,1,11,99.921346221441
87,2,0.25,0.301,0.401,0.1,0.1,1,24,99.9255433045366
88,2,0.75,0.301,0.401,0.1,0.1,1,17,99.914294748674
89,2,0.25,0.401,0.401,0.1,0.1,1,19,99.9438623456185
90,2,0.75,0.401,0.401,0.1,0.1,1,11,99.9268422577089
91,2,0.25,0.501,0.401,0.1,0.1,1,11,99.9655078119922
92,2,0.75,0.501,0.401,0.1,0.1,1,10,99.9373605526205
93,2,0.25,0.601,0.401,0.1,0.1,1,12,99.9662406799235
94,2,0.75,0.601,0.401,0.1,0.1,1,10,99.9368719258481
95,2,0.25,0.701,0.401,0.1,0.1,1,11,99.9708202135361
96,2,0.75,0.701,0.401,0.1,0.1,1,10,99.9459104370774
97,2,0.25,0.801,0.401,0.1,0.1,1,10,99.9721898858508
98,2,0.75,0.801,0.401,0.1,0.1,1,8,99.9490409384689
99,2,0.25,0.901,0.401,0.1,0.1,1,10,99.9720330753542
100,2,0.75,0.901,0.401,0.1,0.1,1,9,99.9513584006324
101,2,0.25,0.001,0.501,0.1,0.1,1,15,99.9401192332024
102,2,0.75,0.001,0.501,0.1,0.1,1,17,99.8450518398089
103,2,0.25,0.101,0.501,0.1,0.1,1,17,99.9466189737764
104,2,0.75,0.101,0.501,0.1,0.1,1,25,99.8596970442727
105,2,0.25,0.201,0.501,0.1,0.1,1,25,99.9275437575219
106,2,0.75,0.201,0.501,0.1,0.1,1,22,99.8896147622159
107,2,0.25,0.301,0.501,0.1,0.1,1,29,99.9243993027905
108,2,0.75,0.301,0.501,0.1,0.1,1,10,99.9376251010556
109,2,0.25,0.401,0.501,0.1,0.1,1,15,99.9622972872873
110,2,0.75,0.401,0.501,0.1,0.1,1,12,99.9326311795288
111,2,0.25,0.501,0.501,0.1,0.1,1,14,99.9662508701835
112,2,0.75,0.501,0.501,0.1,0.1,1,10,99.9427065720482
113,2,0.25,0.601,0.501,0.1,0.1,1,24,99.9516686761772
114,2,0.75,0.601,0.501,0.1,0.1,1,15,99.9368586837254
115,2,0.25,0.701,0.501,0.1,0.1,1,18,99.9636762617737
116,2,0.75,0.701,0.501,0.1,0.1,1,10,99.9510611435017
117,2,0.25,0.801,0.501,0.1,0.1,1,12,99.9733853642114
118,2,0.75,0.801,0.501,0.1,0.1,1,9,99.9495080598058
119,2,0.25,0.901,0.501,0.1,0.1,1,10,99.9775777748933
120,2,0.75,0.901,0.501,0.1,0.1,1,12,99.9457927724324
121,2,0.25,0.001,0.601,0.1,0.1,1,17,99.9474616539155
122,2,0.75,0.001,0.601,0.1,0.1,1,13,99.8929416389395
123,2,0.25,0.101,0.601,0.1,0.1,1,17,99.9580019245313
124,2,0.75,0.101,0.601,0.1,0.1,1,20,99.8825515503319
125,2,0.25,0.201,0.601,0.1,0.1,1,34,99.9241614188112
126,2,0.75,0.201,0.601,0.1,0.1,1,11,99.9360849599181
127,2,0.25,0.301,0.601,0.1,0.1,1,18,99.9619792672787
128,2,0.75,0.301,0.601,0.1,0.1,1,17,99.9228103461412
129,2,0.25,0.401,0.601,0.1,0.1,1,30,99.9437815878888
130,2,0.75,0.401,0.601,0.1,0.1,1,20,99.9158656563765
131,2,0.25,0.501,0.601,0.1,0.1,1,11,99.9780934634959
