fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
1,3,1.2,0.7,0,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.0025,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.005,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.0075,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.01,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.0125,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.015,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.0175,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.02,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.0225,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.025,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.0275,1,0.95,persistence,NA,0
1,3,1.2,0.7,0.03,1,0.95,persistence,NA,0
