fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
1,3,1.2,0.7,0,1,0.95,persistence,NA,4900
1,3,1.2,0.7,0.0025,1,0.95,persistence,NA,4899
1,3,1.2,0.7,0.005,1,0.95,persistence,1.33333333333333,4892
1,3,1.2,0.7,0.0075,1,0.95,persistence,1.33333333333333,4887
1,3,1.2,0.7,0.01,1,0.95,persistence,1,4879
1,3,1.2,0.7,0.0125,1,0.95,persistence,1,4867
1,3,1.2,0.7,0.015,1,0.95,persistence,1.33333333333333,4841
1,3,1.2,0.7,0.0175,1,0.95,persistence,1.66666666666667,4827
1,3,1.2,0.7,0.02,1,0.95,persistence,1.66666666666667,4795
1,3,1.2,0.7,0.0225,1,0.95,persistence,1.66666666666667,4782
1,3,1.2,0.7,0.025,1,0.95,persistence,1.33333333333333,4719
1,3,1.2,0.7,0.0275,1,0.95,persistence,1.33333333333333,4671
1,3,1.2,0.7,0.03,1,0.95,persistence,1,4617
